image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,3,0.717611,car,car,True
drive_022,2,1,0.824606,car,car,True
drive_022,3,4,0.670259,car,car,True
drive_022,4,5,0.657496,truck,bus,False
drive_022,5,2,0.89596,bus,van,False
drive_033,1,11,0.823486,car,car,True
drive_033,3,9,0.615602,car,car,True
drive_033,4,1,0.933074,bus,van,False
drive_033,5,12,0.836382,bus,van,False
drive_033,6,2,0.604581,truck,bus,False
drive_033,19,10,0.747487,car,car,True
drive_033,20,8,0.701021,car,car,True
drive_033,22,6,0.74561,car,car,True
drive_033,23,5,0.663186,car,car,True
drive_033,24,7,0.629565,car,car,True
drive_033,28,4,0.569118,car,car,True
drive_033,29,3,0.661424,car,car,True
drive_038,2,1,0.694054,car,car,True
drive_038,3,2,0.858928,car,car,True
drive_038,4,3,0.861737,car,car,True
drive_038,5,4,0.917963,car,car,True
drive_038,7,8,0.794936,car,car,True
drive_038,8,7,0.712615,car,car,True
drive_038,9,6,0.810464,car,car,True
drive_038,10,17,0.917888,car,car,True
drive_038,11,16,0.872633,car,car,True
drive_038,12,14,0.838385,car,car,True
drive_038,13,13,0.632297,car,car,True
drive_038,14,10,0.759222,car,car,True
drive_038,15,11,0.841786,car,car,True
drive_038,16,12,0.868484,car,car,True
drive_038,52,15,0.804007,van,truck,False
drive_038,54,5,0.893316,truck,bus,False
drive_038,55,9,0.719282,truck,bus,False
drive_008,2,12,0.839023,van,truck,False
drive_008,15,15,0.181805,car,car,True
drive_008,16,14,0.894266,car,car,True
drive_008,17,13,0.826703,car,car,True
drive_008,18,7,0.717456,car,car,True
drive_008,19,16,0.734983,car,car,True
drive_008,21,9,0.903588,bus,van,False
drive_008,23,2,0.806322,car,car,True
drive_008,24,6,0.821258,car,car,True
drive_008,25,11,0.864811,car,car,True
drive_008,26,4,0.913723,car,car,True
drive_008,27,1,0.748375,truck,bus,False
drive_008,28,5,0.721452,van,truck,False
drive_008,29,3,0.840628,van,truck,False
